,LOB,CategoryRetail,subcategory,category,division,WhsCode,SaleWithoutTax,SaleTarget,TargetAchv,Targetshortfall,TMSalesMix,LMSalesMix,SaleWithoutTax_l,momsale,SaleWithoutTax_p,yoysale,tgt_margin,margin,lm_margin,ly_margin,mom_margin,asp_tm,asp_lm,asp_mom,nm%achv,yoynm%,RGM,RGMTarget,rgmachv,RGM_l,rgmmom,RGM_p,rgmyoy,FinalValueDamaged,TGTDamage,damageachv%,damage_to_sale,FinalValueDamaged_l,damage_mom,FinalValueDamaged_p,damage_yoy,FinalValueFreshDump,TGTFreshDump,freshdumpachv%,freshdump_to_sale,FinalValueFreshDump_l,freshdump_mom,FinalValueFreshDump_p,freshdump_yoy,FinalValueShrinkage,TGTShrinkage,shrinkageachv%,shrinkage_to_sale,FinalValueShrinkage_l,shrinkage_mom
53,Food,FMCG Non Food,Cleaning,Detergents & dishwash,FMCG Non Food,STR01,211.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,-18.68,0.0,0.0,0.0,31.12,0.0,0.0,0.0,0.0,-39.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Food,FMCG NON FOOD,Detergents,Detergents & dishwash,FMCG Non Food,STR01,18779.03,40834.61,45.99,-22055.58,2.25,1.05,3345.97,461.24,17090.29,9.88,1.04,-6.61,1.59,8.96,-8.2,248.98,219.35,0.14,-636.81,-15.57,-1241.53,423.94,-292.86,53.29,-2429.76,1531.64,-181.06,0.0,183.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.28,0.0,0.0,0.0,0.0,0.0,0.0,-288.0,162.8,-176.9,-1.53,0.0,0.0
55,Food,FMCG NON FOOD,Pre & post wash,Detergents & dishwash,FMCG Non Food,STR01,667.8,978.48,68.25,-310.68,0.08,0.09,276.83,141.23,660.53,1.1,3.89,7.12,9.29,8.32,-2.17,112.57,65.33,0.72,183.11,-1.2,47.55,38.05,124.97,25.73,84.8,54.98,-13.51,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0
56,Food,FMCG NON FOOD,Baby hyginene,Diapers & wipes,FMCG Non Food,STR01,2204.12,3750.61,58.77,-1546.49,0.26,0.85,2699.09,-18.34,1561.25,41.18,1.25,-10.02,9.8,-14.29,-19.83,355.73,507.92,-0.3,-802.36,4.27,-220.86,46.84,-471.52,264.64,-183.46,-223.03,-0.97,139.29,16.88,825.18,6.32,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95,0.0,0.0,0.0,0.0
57,GM HARDLINES,Stationery,Books & pads,Diaries notebooks & notepads,GM Hardlines,STR01,963.5,2718.81,35.44,-1755.31,0.12,0.24,748.89,28.66,233.05,313.43,11.77,23.71,37.85,32.72,-14.14,75.57,86.22,-0.12,201.48,-9.0,228.48,320.0,71.4,283.48,-19.4,76.25,199.65,0.0,12.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,34.41,10.84,317.44,3.57,0.0,0.0
58,GM Home,Utensils,Bake & serve,Dining & serving,GM Houseware,STR01,253.38,1862.75,13.6,-1609.37,0.03,0.0,0.0,0.0,894.91,-71.69,29.64,13.17,0.0,41.06,0.0,298.99,0.0,0.0,44.45,-27.89,33.38,552.1,6.05,0.0,0.0,367.45,-90.92,0.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,7.43,-9878.87,-289.68,0.0,0.0
59,GM Home,Crockery,Dinner & table ware,Dining & serving,GM Houseware,STR01,1374.73,13984.09,9.83,-12609.36,0.16,0.82,2603.29,-47.19,3758.6,-63.42,15.35,27.8,28.81,21.53,-1.01,49.16,61.44,-0.2,181.15,6.27,382.17,2146.08,17.81,749.89,-49.04,809.05,-52.76,0.0,62.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,2693.02,55.75,4830.53,195.89,0.0,0.0
60,GM Home,Crockery,Drinkware,Dining & serving,GM Houseware,STR01,3109.34,13872.63,22.41,-10763.29,0.37,0.39,1235.97,151.57,6986.17,-55.49,18.28,15.89,9.93,20.0,5.96,95.91,206.4,-0.54,86.89,-4.12,493.93,2536.31,19.47,122.71,302.52,1397.54,-64.66,0.0,62.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.76,0.0,0.0,0.0,0.0,0.0,0.0,261.87,55.31,473.46,8.42,0.0,0.0
61,GM Home,Utensils,Kitchen tool,Dining & serving,GM Houseware,STR01,177.69,0.0,0.0,0.0,0.02,0.0,0.0,0.0,321.43,-44.72,0.0,38.09,0.0,44.93,0.0,199.01,0.0,0.0,0.0,-6.84,67.69,0.0,0.0,0.0,0.0,144.43,-53.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,GM Home,Crockery,Table ware,Dining & serving,GM Houseware,STR01,706.72,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,42.27,0.0,0.0,0.0,131.92,0.0,0.0,0.0,0.0,298.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,GM Home,Utensils,Table ware,Dining & serving,GM Houseware,STR01,362.41,1246.86,29.07,-884.45,0.04,0.0,0.0,0.0,809.15,-55.21,23.54,-12.25,0.0,32.46,0.0,57.99,0.0,0.0,-52.03,-44.71,-44.4,293.57,-15.12,0.0,0.0,262.65,-116.9,0.0,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0
64,GM Home,Plastic,Thermoware,Dining & serving,GM Houseware,STR01,684.43,0.0,0.0,0.0,0.08,0.01,43.47,1474.49,444.92,53.83,0.0,-43.61,-53.97,39.99,10.36,57.69,51.3,0.12,0.0,-83.61,-298.49,0.0,0.0,-23.46,1172.34,177.94,-267.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Food,STAPLE,Dried fruits,Dry fruits,Staple,STR01,3088.37,5269.55,58.61,-2181.18,0.37,0.23,731.31,322.31,7214.19,-57.19,18.82,16.59,17.99,21.4,-1.41,180.21,114.29,0.58,88.15,-4.81,512.25,991.51,51.66,131.59,289.28,1543.84,-66.82,0.0,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.01,0.0,0.0,0.0,0.0
66,Food,STAPLE,Millets,Dry fruits,Staple,STR01,102.87,0.0,0.0,0.0,0.01,0.0,0.0,0.0,64.76,58.85,0.0,21.2,0.0,23.41,0.0,36.0,0.0,0.0,0.0,-2.21,21.81,0.0,0.0,0.0,0.0,15.16,43.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Food,STAPLE,Nuts,Dry fruits,Staple,STR01,9092.31,0.0,0.0,0.0,1.09,1.67,5300.77,71.53,78743.49,-88.45,0.0,10.18,13.32,9.13,-3.13,354.07,361.32,-0.02,0.0,1.06,926.02,0.0,0.0,705.9,31.18,7188.96,-87.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Food,STAPLE,Other dryfruits & nuts,Dry fruits,Staple,STR01,612.67,326.19,187.83,286.48,0.07,0.01,33.33,1738.19,438.95,39.58,25.24,9.65,16.56,21.86,-6.91,94.86,35.0,1.71,38.26,-12.2,59.15,82.32,71.85,5.52,971.56,95.95,-38.35,0.0,1.47,0.0,0.0,45.05,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
69,Food,STAPLE,Ghee,Edible oil & ghee,Staple,STR01,9557.11,63097.07,15.15,-53539.96,1.15,0.65,2061.6,363.58,17095.05,-44.09,2.84,2.3,6.56,-5.41,-4.26,382.29,384.83,-0.01,80.76,7.71,219.42,1793.67,12.23,135.2,62.29,-924.95,-123.72,0.0,283.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.56,0.0,0.0,0.0,0.0
70,Food,STAPLE,Health oil,Edible oil & ghee,Staple,STR01,12275.24,19870.19,61.78,-7594.95,1.47,0.53,1683.81,629.02,25407.65,-51.69,2.84,4.28,5.14,5.99,-0.86,805.56,589.33,0.37,150.54,-1.71,525.31,564.85,93.0,86.47,507.51,1520.66,-65.46,181.12,89.42,202.55,1.48,0.0,0.0,0.0,0.0,0.0,25.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.22,0.0,0.0,0.0,0.0
71,Food,STAPLE,Straight oil,Edible oil & ghee,Staple,STR01,19476.13,149068.11,13.07,-129591.98,2.34,2.4,7620.2,155.59,18913.27,2.98,2.84,3.87,4.44,5.67,-0.58,189.35,200.03,-0.05,135.99,-1.8,752.93,4237.58,17.77,338.64,122.34,1072.19,-29.78,0.0,670.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.32,0.0,0.0,0.0,0.0
72,Food,BAKERY DAIRY & FROZEN,Eggs,Eggs,Bakery Dairy & Frozen,STR01,4455.0,9428.78,47.25,-4973.78,0.53,1.05,3319.0,34.23,7775.0,-42.7,2.05,10.02,18.05,0.33,-8.03,171.35,207.44,-0.17,489.7,9.69,446.58,193.01,231.38,599.09,-25.46,26.0,1617.62,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,0.0,0.0,0.0,0.0,277.63,0.0,0.0,37.59,0.0,0.0,0.0,0.0
73,GM HARDLINES,Electronics,Lighting needs,Electrical needs & accessories,GM Hardlines,STR01,845.76,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,94.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Food,FMCG FOOD,Carbonated,Energy & soft drinks,FMCG Food,STR01,3321.53,1458.27,227.77,1863.26,0.4,0.76,2419.37,37.29,2923.97,13.6,1.86,5.14,15.25,8.18,-10.11,46.05,37.96,0.21,276.87,-3.04,170.65,27.06,630.64,368.87,-53.74,239.17,-28.65,0.0,6.56,0.0,0.0,238.21,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,-18.45,5.81,-317.56,-0.56,0.0,0.0
75,Food,FMCG FOOD,Functional beverage,Energy & soft drinks,FMCG Food,STR01,711.78,0.0,0.0,0.0,0.09,0.01,35.0,1933.66,1845.22,-61.43,0.0,9.97,18.37,-16.85,-8.41,52.45,49.0,0.07,0.0,26.81,70.93,0.0,0.0,6.43,1003.11,-310.87,-122.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Food,FMCG Food,Functional beverage,Energy & soft drinks,FMCG Food,STR01,77.21,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6.37,0.0,0.0,0.0,108.1,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Fashion,Footwear,Footwear accessories,Fashion accessories,Fashion,STR01,136.2,0.0,0.0,0.0,0.02,0.05,153.34,-11.18,0.0,0.0,0.0,9.69,8.7,0.0,0.99,71.5,53.67,0.33,0.0,0.0,13.2,0.0,0.0,13.34,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Fashion,Mens Apparel,Mens accessories,Fashion accessories,Fashion,STR01,676.27,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,0.0,399.0,0.0,0.0,0.0,0.0,77.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Fashion,Mens Apparel,Mens wear,Fashion accessories,Fashion,STR01,536.21,9429.16,5.69,-8892.95,0.06,0.35,1101.69,-51.33,2003.86,-73.24,12.53,50.21,46.25,29.34,3.95,202.32,207.45,-0.02,400.81,20.87,269.21,1181.11,22.79,509.58,-47.17,587.86,-54.21,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,37.59,-1.76,-0.12,0.0,0.0
80,Food,BAKERY DAIRY & FROZEN,Seafood,Fish & sea food,Bakery Dairy & Frozen,STR01,211.74,1024.88,20.66,-813.14,0.03,0.17,552.76,-61.69,0.0,0.0,13.36,7.04,0.0,0.0,7.04,199.0,130.0,0.53,52.67,0.0,14.9,136.93,10.88,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,-37.15,0.0
81,Food,BAKERY DAIRY & FROZEN,Tin foods,Fish & sea food,Bakery Dairy & Frozen,STR01,542.41,0.0,0.0,0.0,0.07,0.0,0.0,0.0,143.35,278.38,0.0,-0.0,0.0,21.05,0.0,202.5,0.0,0.0,0.0,-21.06,-0.02,0.0,0.0,0.0,0.0,30.18,-100.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Fashion,Footwear,Kids footwear,Footwear,Fashion,STR01,1991.5,0.0,0.0,0.0,0.24,0.49,1542.9,29.08,0.0,0.0,0.0,14.39,41.34,0.0,-26.96,160.85,270.01,-0.4,0.0,0.0,286.51,0.0,0.0,637.88,-55.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Fashion,Footwear,Ladies footwear,Footwear,Fashion,STR01,1337.11,4001.35,33.42,-2664.24,0.16,0.08,257.12,420.03,288.33,363.74,14.16,31.93,36.24,18.48,-4.31,350.99,134.99,1.6,225.5,13.44,426.88,566.51,75.35,93.17,358.17,53.29,701.05,0.0,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,-922.0,15.95,-5780.56,-68.95,0.0,0.0
84,Fashion,Footwear,Mens footwear,Footwear,Fashion,STR01,2226.62,6861.94,32.45,-4635.32,0.27,0.32,1017.12,118.91,6490.05,-65.69,14.16,21.03,13.64,-14.49,7.38,233.8,267.0,-0.12,148.52,35.52,468.19,971.5,48.19,138.78,237.36,-940.31,-149.79,0.0,30.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0.0,0.0,0.0,0.0,0.0,0.0,922.0,27.36,3369.88,41.41,0.0,0.0
85,Food,FMCG NON FOOD,Personal grooming,Fragrances,FMCG Non Food,STR01,3056.07,0.0,0.0,0.0,0.37,0.69,2177.09,40.37,3593.25,-14.95,0.0,-16.56,16.61,13.78,-33.17,133.56,183.5,-0.27,0.0,-30.34,-505.96,0.0,0.0,361.68,-239.89,495.19,-202.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Food,FMCG Non Food,Personal grooming,Fragrances,FMCG Non Food,STR01,932.6,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,-49.53,0.0,0.0,0.0,183.41,0.0,0.0,0.0,0.0,-461.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Food,BAKERY DAIRY & FROZEN,Frozen food,Fries wedges & smileys,Bakery Dairy & Frozen,STR01,2510.29,0.0,0.0,0.0,0.3,0.48,1518.19,65.35,5021.36,-50.01,0.0,-4.44,3.87,-12.72,-8.31,133.88,142.66,-0.06,0.0,8.28,-111.46,0.0,0.0,58.73,-289.78,-638.68,-82.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Food,FMCG FOOD,Juice drink & concentrate,Fruit juices & drinks,FMCG Food,STR01,5465.05,7564.16,72.25,-2099.11,0.66,1.31,4160.98,31.34,4298.32,27.14,0.07,0.26,14.37,-1.6,-14.11,87.05,70.8,0.23,353.12,1.86,14.44,5.66,255.12,598.08,-97.59,-68.78,-120.99,154.2,34.04,453.0,2.82,26.79,475.59,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.16,0.0,0.0,0.0,0.0
89,Food,FRESH,Fruits,Fruits,Fresh,STR01,12885.22,40644.45,31.7,-27759.23,1.55,2.86,9064.46,42.15,25336.97,-49.14,7.89,16.24,7.1,16.66,9.14,121.26,75.07,0.62,205.84,-0.42,2092.36,3206.39,65.26,643.65,225.08,4221.83,-50.44,0.0,182.9,0.0,0.0,0.0,0.0,0.0,0.0,594.62,52.03,1142.84,4.61,1371.86,-56.66,707.85,-16.0,-335.52,162.04,-207.06,-2.6,0.0,0.0
90,Food,FRESH,Vegetable,Fruits,Fresh,STR01,82.0,0.0,0.0,0.0,0.01,0.06,205.0,-60.0,965.67,-91.51,0.0,19.48,18.57,8.61,0.91,41.0,41.0,0.0,0.0,10.87,15.97,0.0,0.0,38.06,-58.04,83.11,-80.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,GM Home,Utensils,Gas stove,Gas stoves,GM Houseware,STR01,1693.95,21772.02,7.78,-20078.07,0.2,0.0,0.0,0.0,0.0,0.0,5.69,2.59,0.0,0.0,0.0,1998.86,0.0,0.0,45.57,0.0,43.95,1239.58,3.55,0.0,0.0,0.0,0.0,0.0,97.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,0.0,0.0,0.0,0.0
92,GM Home,Utensils,Gas stoves,Gas stoves,GM Houseware,STR01,2371.91,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,2798.85,0.0,0.0,0.0,0.0,320.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Food,FMCG NON FOOD,Hair hygiene & care,Hair care,FMCG Non Food,STR01,10857.62,31622.84,34.33,-20765.22,1.3,0.76,2407.91,350.91,17845.47,-39.16,1.27,-31.47,4.34,-12.03,-35.81,232.78,141.19,0.65,-2477.12,-19.44,-3416.93,401.75,-850.51,104.4,-3372.92,-2146.61,59.18,0.0,142.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.08,0.0,0.0,-980.4,0.0
94,Food,FMCG Non Food,Hair hygiene & care,Hair care,FMCG Non Food,STR01,341.54,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.0,0.0,0.0,403.02,0.0,0.0,0.0,0.0,-23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Food,FMCG NON FOOD,Hair styling & colors,Hair care,FMCG Non Food,STR01,1242.93,1448.65,85.8,-205.72,0.15,0.39,1231.8,0.9,1043.9,19.07,4.33,-38.44,15.01,7.43,-53.45,76.74,69.22,0.11,-887.47,-45.87,-477.73,62.74,-761.44,184.9,-358.37,77.61,-715.55,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.0,0.0,0.0
96,Food,FMCG NON FOOD,Health,Health & pharmacy,FMCG Non Food,STR01,275.89,1476.02,18.69,-1200.13,0.03,0.14,444.54,-37.94,436.49,-36.79,4.15,14.57,14.73,14.09,-0.16,51.5,99.58,-0.48,351.22,0.47,40.19,61.22,65.65,65.48,-38.62,61.52,-34.67,0.0,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,-99.0,0.0
97,Food,FMCG NON FOOD,Personal grooming,Health & pharmacy,FMCG Non Food,STR01,342.86,0.0,0.0,0.0,0.04,0.04,114.29,199.99,806.3,-57.48,0.0,28.88,2.53,27.37,26.35,45.0,120.0,-0.62,0.0,1.51,99.02,0.0,0.0,2.89,3326.3,220.66,-55.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Food,FMCG NON FOOD,Pharmacy,Health & pharmacy,FMCG Non Food,STR01,208.04,1002.93,20.74,-794.89,0.02,0.12,374.62,-44.47,522.9,-60.21,3.12,13.32,8.35,18.09,4.97,58.25,104.9,-0.44,426.67,-4.77,27.72,31.32,88.51,31.29,-11.41,94.59,-70.69,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,-288.0,4.0,-7200.0,-138.43,0.0,0.0
99,Food,FMCG FOOD,Functional beverage,Health drink & supplement,FMCG Food,STR01,2975.11,4742.75,62.73,-1767.64,0.36,0.28,897.45,231.51,4967.27,-40.11,1.13,9.02,5.28,5.23,3.74,270.05,264.75,0.02,796.69,3.79,268.42,53.71,499.76,47.37,466.65,259.75,3.34,0.0,21.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91,0.0,0.0,0.0,0.0
100,Food,FMCG FOOD,Hot beverage,Health drink & supplement,FMCG Food,STR01,3323.11,47680.92,6.97,-44357.81,0.4,0.24,754.35,340.53,709.82,368.16,0.7,6.58,5.9,7.98,0.67,353.31,264.02,0.34,934.61,-1.4,218.55,335.52,65.14,44.53,390.79,56.62,285.99,0.0,214.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.1,0.0,0.0,0.0,0.0
101,GM HARDLINES,Electronics,Small appliances,Home appliances,GM Hardlines,STR01,1946.59,0.0,0.0,0.0,0.23,1.07,3386.56,-42.52,4233.87,-54.02,0.0,11.8,15.4,13.49,-3.6,765.66,999.04,-0.23,0.0,-1.7,229.64,0.0,0.0,521.4,-55.96,571.33,-59.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,GM HARDLINES,Electronics,Televisions,Home appliances,GM Hardlines,STR01,11863.56,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,13999.0,0.0,0.0,0.0,0.0,211.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Food,BAKERY DAIRY & FROZEN,Ice creams,Ice creams,Bakery Dairy & Frozen,STR01,990.26,2537.6,39.02,-1547.34,0.12,0.15,491.1,101.64,687.88,43.96,1.49,17.57,16.22,12.07,1.35,73.03,44.58,0.64,1176.68,5.51,174.03,37.9,459.18,79.66,118.47,83.01,109.65,0.0,11.42,0.0,0.0,318.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0
104,Food,FMCG FOOD,Confectionery,Indian sweets,FMCG Food,STR01,891.85,0.0,0.0,0.0,0.11,0.0,0.0,0.0,3212.4,-72.24,0.0,8.82,0.0,12.78,0.0,117.06,0.0,0.0,0.0,-3.96,78.62,0.0,0.0,0.0,0.0,410.53,-80.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Food,FMCG Food,Confectionery,Indian sweets,FMCG Food,STR01,714.29,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,107.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Food,BAKERY DAIRY & FROZEN,Frozen food,Kebabs & sausages,Bakery Dairy & Frozen,STR01,2595.29,0.0,0.0,0.0,0.31,0.73,2309.31,12.38,4306.94,-39.74,0.0,-7.2,9.94,10.63,-17.14,223.59,215.54,0.04,0.0,-17.83,-186.86,0.0,0.0,229.54,-181.41,457.74,-140.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Fashion,Kids Apparels,Boys wear,Kids apparels,Fashion,STR01,1573.05,13996.98,11.24,-12423.93,0.19,0.24,758.08,107.5,153.43,925.26,10.83,2.24,5.13,44.6,-2.9,165.17,199.0,-0.17,20.67,-42.36,35.22,1516.32,2.32,38.92,-9.51,68.43,-48.53,0.0,62.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,0.0,0.0,0.0
